Tested at The Flinders University of South Australia,,,
,,,
Cell Name:,CP156U_2,,
Notes:,,,
Cell Area (cm2):,0.1,,
Temperature (C):,25,,
Ideality [LnJ vs. V]: ,NaN,,
Jsat [Ln J vs. V] (A/m2): ,NaN,,
Jsat [Ln J vs. V] (mA/cm2): ,NaN,,
Schottky? : ,No,,
SBH [Ln J vs. V] (eV): ,0,,
R-Squared [Ln J vs. V]: ,NaN,,
,,,
,,,
,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
0.00E+00,2.79E-04,2.79E+00,0.00E+00
5.05E-02,2.03E-04,2.03E+00,1.03E-01
1.01E-01,2.01E-04,2.01E+00,2.03E-01
1.52E-01,2.03E-04,2.03E+00,3.08E-01
2.02E-01,1.98E-04,1.98E+00,4.01E-01
2.53E-01,2.00E-04,2.00E+00,5.06E-01
3.03E-01,2.01E-04,2.01E+00,6.10E-01
3.54E-01,2.01E-04,2.01E+00,7.11E-01
4.04E-01,2.07E-04,2.07E+00,8.36E-01
4.55E-01,2.05E-04,2.05E+00,9.32E-01
5.05E-01,2.05E-04,2.05E+00,1.04E+00
5.56E-01,2.05E-04,2.05E+00,1.14E+00
6.06E-01,2.04E-04,2.04E+00,1.24E+00
6.57E-01,2.03E-04,2.03E+00,1.33E+00
7.07E-01,2.04E-04,2.04E+00,1.44E+00
7.58E-01,2.05E-04,2.05E+00,1.55E+00
8.08E-01,2.05E-04,2.05E+00,1.66E+00
8.59E-01,2.05E-04,2.05E+00,1.76E+00
9.09E-01,2.26E-04,2.26E+00,2.05E+00
9.60E-01,2.26E-04,2.26E+00,2.17E+00
1.01E+00,2.28E-04,2.28E+00,2.30E+00
1.06E+00,2.30E-04,2.30E+00,2.44E+00
1.11E+00,2.27E-04,2.27E+00,2.52E+00
1.16E+00,2.30E-04,2.30E+00,2.67E+00
1.21E+00,2.28E-04,2.28E+00,2.76E+00
1.26E+00,2.27E-04,2.27E+00,2.87E+00
1.31E+00,2.49E-04,2.49E+00,3.27E+00
1.36E+00,2.26E-04,2.26E+00,3.08E+00
1.41E+00,2.47E-04,2.47E+00,3.49E+00
1.46E+00,2.47E-04,2.47E+00,3.62E+00
1.52E+00,2.69E-04,2.69E+00,4.07E+00
1.57E+00,2.72E-04,2.72E+00,4.25E+00
1.62E+00,2.69E-04,2.69E+00,4.35E+00
1.67E+00,2.66E-04,2.66E+00,4.43E+00
1.72E+00,3.05E-04,3.05E+00,5.24E+00
1.77E+00,2.81E-04,2.81E+00,4.97E+00
1.82E+00,2.79E-04,2.79E+00,5.08E+00
1.87E+00,2.73E-04,2.73E+00,5.10E+00
1.92E+00,2.65E-04,2.65E+00,5.09E+00
1.97E+00,2.77E-04,2.77E+00,5.45E+00
2.02E+00,2.82E-04,2.82E+00,5.70E+00
2.07E+00,2.88E-04,2.88E+00,5.96E+00
2.12E+00,2.82E-04,2.82E+00,5.99E+00
2.17E+00,2.86E-04,2.86E+00,6.21E+00
2.22E+00,2.81E-04,2.81E+00,6.25E+00
2.27E+00,2.92E-04,2.92E+00,6.63E+00
2.32E+00,3.05E-04,3.05E+00,7.09E+00
2.37E+00,3.16E-04,3.16E+00,7.49E+00
2.42E+00,3.14E-04,3.14E+00,7.61E+00
2.47E+00,3.15E-04,3.15E+00,7.79E+00
2.53E+00,3.25E-04,3.25E+00,8.21E+00
2.58E+00,3.37E-04,3.37E+00,8.67E+00
2.63E+00,3.51E-04,3.51E+00,9.22E+00
2.68E+00,3.56E-04,3.56E+00,9.52E+00
2.73E+00,3.64E-04,3.64E+00,9.94E+00
2.78E+00,3.73E-04,3.73E+00,1.04E+01
2.83E+00,3.79E-04,3.79E+00,1.07E+01
2.88E+00,4.02E-04,4.02E+00,1.16E+01
2.93E+00,4.13E-04,4.13E+00,1.21E+01
2.98E+00,4.19E-04,4.19E+00,1.25E+01
3.03E+00,4.32E-04,4.32E+00,1.31E+01
3.08E+00,4.47E-04,4.47E+00,1.38E+01
3.13E+00,4.70E-04,4.70E+00,1.47E+01
3.18E+00,4.74E-04,4.74E+00,1.51E+01
3.23E+00,4.94E-04,4.94E+00,1.60E+01
3.28E+00,5.02E-04,5.02E+00,1.65E+01
3.33E+00,5.20E-04,5.20E+00,1.73E+01
3.38E+00,5.59E-04,5.59E+00,1.89E+01
3.43E+00,5.84E-04,5.84E+00,2.00E+01
3.49E+00,5.97E-04,5.97E+00,2.08E+01
3.54E+00,6.33E-04,6.33E+00,2.24E+01
3.59E+00,6.59E-04,6.59E+00,2.36E+01
3.64E+00,7.08E-04,7.08E+00,2.57E+01
3.69E+00,7.49E-04,7.49E+00,2.76E+01
3.74E+00,7.55E-04,7.55E+00,2.82E+01
3.79E+00,8.01E-04,8.01E+00,3.03E+01
3.84E+00,8.50E-04,8.50E+00,3.26E+01
3.89E+00,8.99E-04,8.99E+00,3.50E+01
3.94E+00,9.66E-04,9.66E+00,3.81E+01
3.99E+00,1.04E-03,1.04E+01,4.16E+01
4.04E+00,1.09E-03,1.09E+01,4.40E+01
4.09E+00,1.13E-03,1.13E+01,4.64E+01
4.14E+00,1.22E-03,1.22E+01,5.06E+01
4.19E+00,1.29E-03,1.29E+01,5.40E+01
4.24E+00,1.33E-03,1.33E+01,5.63E+01
4.29E+00,1.42E-03,1.42E+01,6.10E+01
4.34E+00,1.54E-03,1.54E+01,6.67E+01
4.39E+00,1.62E-03,1.62E+01,7.13E+01
4.44E+00,1.72E-03,1.72E+01,7.65E+01
4.50E+00,1.80E-03,1.80E+01,8.10E+01
4.55E+00,1.95E-03,1.95E+01,8.88E+01
4.60E+00,2.04E-03,2.04E+01,9.37E+01
4.65E+00,2.16E-03,2.16E+01,1.00E+02
4.70E+00,2.30E-03,2.30E+01,1.08E+02
4.75E+00,2.47E-03,2.47E+01,1.17E+02
4.80E+00,2.57E-03,2.57E+01,1.23E+02
4.85E+00,2.70E-03,2.70E+01,1.31E+02
4.90E+00,2.86E-03,2.86E+01,1.40E+02
4.95E+00,2.99E-03,2.99E+01,1.48E+02
5.00E+00,3.11E-03,3.11E+01,1.56E+02
5.05E+00,3.30E-03,3.30E+01,1.67E+02
5.10E+00,3.47E-03,3.47E+01,1.77E+02
5.15E+00,3.69E-03,3.69E+01,1.90E+02
5.20E+00,3.89E-03,3.89E+01,2.03E+02
5.25E+00,4.05E-03,4.05E+01,2.13E+02
5.30E+00,4.24E-03,4.24E+01,2.25E+02
5.35E+00,4.45E-03,4.45E+01,2.38E+02
5.40E+00,4.68E-03,4.68E+01,2.53E+02
5.45E+00,4.91E-03,4.91E+01,2.68E+02
5.51E+00,5.08E-03,5.08E+01,2.80E+02
5.56E+00,5.31E-03,5.31E+01,2.95E+02
5.61E+00,5.57E-03,5.57E+01,3.12E+02
5.66E+00,5.80E-03,5.80E+01,3.28E+02
5.71E+00,6.06E-03,6.06E+01,3.46E+02
5.76E+00,6.35E-03,6.35E+01,3.66E+02
5.81E+00,6.56E-03,6.56E+01,3.81E+02
5.86E+00,6.85E-03,6.85E+01,4.01E+02
5.91E+00,7.10E-03,7.10E+01,4.20E+02
5.96E+00,7.42E-03,7.42E+01,4.42E+02
6.01E+00,7.66E-03,7.66E+01,4.60E+02
6.06E+00,8.01E-03,8.01E+01,4.86E+02
6.11E+00,8.30E-03,8.30E+01,5.07E+02
6.16E+00,8.65E-03,8.65E+01,5.33E+02
6.21E+00,8.94E-03,8.94E+01,5.56E+02
6.26E+00,9.30E-03,9.30E+01,5.82E+02
6.31E+00,9.58E-03,9.58E+01,6.05E+02
6.36E+00,9.94E-03,9.94E+01,6.32E+02
6.41E+00,1.03E-02,1.03E+02,6.58E+02
6.46E+00,1.05E-02,1.05E+02,6.81E+02
6.52E+00,1.09E-02,1.09E+02,7.09E+02
6.57E+00,1.13E-02,1.13E+02,7.42E+02
6.62E+00,1.17E-02,1.17E+02,7.73E+02
6.67E+00,1.20E-02,1.20E+02,7.99E+02
6.72E+00,1.24E-02,1.24E+02,8.32E+02
6.77E+00,1.26E-02,1.26E+02,8.55E+02
6.82E+00,1.30E-02,1.30E+02,8.85E+02
6.87E+00,1.34E-02,1.34E+02,9.22E+02
6.92E+00,1.38E-02,1.38E+02,9.52E+02
6.97E+00,1.41E-02,1.41E+02,9.79E+02
7.02E+00,1.43E-02,1.43E+02,1.01E+03
7.07E+00,1.46E-02,1.46E+02,1.03E+03
7.12E+00,1.49E-02,1.49E+02,1.06E+03
7.17E+00,1.53E-02,1.53E+02,1.10E+03
7.22E+00,1.56E-02,1.56E+02,1.13E+03
7.27E+00,1.60E-02,1.60E+02,1.16E+03
7.32E+00,1.63E-02,1.63E+02,1.19E+03
7.37E+00,1.67E-02,1.67E+02,1.23E+03
7.42E+00,1.70E-02,1.70E+02,1.27E+03
7.48E+00,1.73E-02,1.73E+02,1.29E+03
7.53E+00,1.76E-02,1.76E+02,1.32E+03
7.58E+00,1.79E-02,1.79E+02,1.36E+03
7.63E+00,1.82E-02,1.82E+02,1.39E+03
7.68E+00,1.83E-02,1.83E+02,1.41E+03
7.73E+00,1.86E-02,1.86E+02,1.44E+03
7.78E+00,1.89E-02,1.89E+02,1.47E+03
7.83E+00,1.91E-02,1.91E+02,1.50E+03
7.88E+00,1.93E-02,1.93E+02,1.52E+03
7.93E+00,1.95E-02,1.95E+02,1.55E+03
7.98E+00,1.98E-02,1.98E+02,1.58E+03
8.03E+00,2.00E-02,2.00E+02,1.60E+03
8.08E+00,2.01E-02,2.01E+02,1.63E+03
8.13E+00,2.03E-02,2.03E+02,1.65E+03
8.18E+00,2.05E-02,2.05E+02,1.68E+03
8.23E+00,2.06E-02,2.06E+02,1.69E+03
8.28E+00,2.08E-02,2.08E+02,1.73E+03
8.33E+00,2.10E-02,2.10E+02,1.75E+03
8.38E+00,2.11E-02,2.11E+02,1.77E+03
8.43E+00,2.13E-02,2.13E+02,1.79E+03
8.49E+00,2.14E-02,2.14E+02,1.81E+03
8.54E+00,2.14E-02,2.14E+02,1.82E+03
8.59E+00,2.15E-02,2.15E+02,1.84E+03
8.64E+00,2.16E-02,2.16E+02,1.86E+03
8.69E+00,2.18E-02,2.18E+02,1.89E+03
8.74E+00,2.18E-02,2.18E+02,1.90E+03
8.79E+00,2.20E-02,2.20E+02,1.93E+03
8.84E+00,2.20E-02,2.20E+02,1.95E+03
8.89E+00,2.22E-02,2.22E+02,1.97E+03
8.94E+00,2.22E-02,2.22E+02,1.99E+03
8.99E+00,2.23E-02,2.23E+02,2.00E+03
9.04E+00,2.24E-02,2.24E+02,2.02E+03
9.09E+00,2.24E-02,2.24E+02,2.04E+03
9.14E+00,2.25E-02,2.25E+02,2.06E+03
9.19E+00,2.25E-02,2.25E+02,2.07E+03
9.24E+00,2.25E-02,2.25E+02,2.08E+03
9.29E+00,2.26E-02,2.26E+02,2.10E+03
9.34E+00,2.26E-02,2.26E+02,2.12E+03
9.39E+00,2.27E-02,2.27E+02,2.13E+03
9.44E+00,2.27E-02,2.27E+02,2.14E+03
9.50E+00,2.27E-02,2.27E+02,2.15E+03
9.55E+00,2.27E-02,2.27E+02,2.17E+03
9.60E+00,2.29E-02,2.29E+02,2.19E+03
9.65E+00,2.28E-02,2.28E+02,2.20E+03
9.70E+00,2.28E-02,2.28E+02,2.21E+03
9.75E+00,2.30E-02,2.30E+02,2.24E+03
9.80E+00,2.31E-02,2.31E+02,2.26E+03
9.85E+00,2.32E-02,2.32E+02,2.28E+03
9.90E+00,2.33E-02,2.33E+02,2.30E+03
9.95E+00,2.34E-02,2.34E+02,2.33E+03
1.00E+01,2.34E-02,2.34E+02,2.34E+03
0.00E+00,2.04E-04,2.04E+00,0.00E+00
